sym1,sym2,sector,ok,pvalue,adf_stat,hedge_ratio,intercept,half_life_secs,spread_mean,spread_std,spread_std_bps,correlation,n_bars,daily_signals,r_squared
VOLTAS26MAYFUT,BLUESTARCO26MAYFUT,industrials,True,0.055697,-2.8184,0.659966,174.5061,2624.5,174.5061,18.1012,123.74,0.6559,79818,12.5,0.4303
LT26MAYFUT,BDL26MAYFUT,infra,True,0.057341,-2.8066,0.419156,3340.5105,4132.9,3340.5105,29.9843,114.99,0.3796,96031,16.4,0.1441
LT26MAYFUT,POWERGRID26MAYFUT,infra,True,0.058724,-2.7969,4.239054,2622.7896,2044.9,2622.7896,32.1621,153.7,0.508,41735,12.9,0.2581
BHARTIARTL26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.058949,-2.7953,-0.54587,2738.5581,6825.4,2738.5581,32.8421,190.4,-0.7475,110560,6.6,0.5588
TITAN26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.060568,-2.7842,-0.339821,4669.2771,3439.0,4669.2771,37.6673,131.09,-0.2256,104275,22.0,0.0509
BLUESTARCO26MAYFUT,CROMPTON26MAYFUT,industrials,True,0.060939,-2.7817,1.914678,1098.056,3263.2,1098.056,20.9502,214.84,0.3984,107456,5.0,0.1587
RELIANCE26MAYFUT,PIDILITIND26MAYFUT,mixed,True,0.061314,-2.7792,0.673182,368.4603,2765.6,368.4603,12.3611,87.62,0.617,64792,14.5,0.3807
CIPLA26MAYFUT,DRREDDY26MAYFUT,pharma,True,0.062549,-2.7709,1.326429,-338.4289,3394.2,-338.4289,25.1786,185.96,0.8155,78571,16.2,0.665
RELIANCE26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.069085,-2.7294,0.281769,891.0177,4413.1,891.0177,11.3186,75.83,0.5364,101242,21.2,0.2877
TECHM26MAYFUT,INFY26MAYFUT,it,True,0.07268,-2.7079,1.060291,185.1842,3386.3,185.1842,16.2504,126.89,0.9019,91928,18.5,0.8134
SAIL26MAYFUT,VEDL26MAYFUT,metals,True,0.073332,-2.7041,0.379661,72.784,669.5,72.784,4.0737,155.88,0.4357,18265,6.9,0.1899
PIDILITIND26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.080503,-2.6639,0.11802,1278.6839,2543.7,1278.6839,12.2324,80.24,0.5547,65585,0.8,0.3077
BDL26MAYFUT,POWERGRID26MAYFUT,infra,True,0.082144,-2.6551,4.630246,-66.9782,1626.3,-66.9782,18.5198,229.44,0.7713,41100,9.8,0.5948
DIVISLAB26MAYFUT,AUROPHARMA26MAYFUT,pharma,True,0.08218,-2.6549,0.50124,6088.3998,1341.6,6088.3998,60.2069,144.22,0.1815,31013,8.1,0.033
RELIANCE26MAYFUT,BHARTIARTL26MAYFUT,mixed,True,0.082199,-2.6548,-0.215772,1758.2432,4654.7,1758.2432,10.5984,65.52,-0.7035,110522,34.5,0.4949
ADANIENT26MAYFUT,BHARTIARTL26MAYFUT,mixed,True,0.083615,-2.6473,1.444013,-45.7228,4954.0,-45.7228,45.1211,197.83,0.8409,111270,10.6,0.7071
HINDALCO26MAYFUT,SAIL26MAYFUT,metals,True,0.085868,-2.6356,2.784568,527.7897,698.0,527.7897,13.8885,218.72,0.6284,18104,8.2,0.3949
HDFCBANK26MAYFUT,SBIN26MAYFUT,banking,True,0.091248,-2.6085,0.392321,390.602,5377.8,390.602,7.1127,82.68,0.4693,115309,7.5,0.2202
BAJFINANCE26MAYFUT,INDUSINDBK26MAYFUT,nbfc,True,0.092209,-2.6038,0.277818,660.8001,3715.6,660.8001,8.1593,90.12,0.3198,90550,18.5,0.1023
SBIN26MAYFUT,IDFCFIRSTB26MAYFUT,banking,True,0.093653,-2.5968,8.497078,376.1989,2407.7,376.1989,7.9892,156.4,0.5805,56700,3.8,0.337
BEL26MAYFUT,BDL26MAYFUT,infra,True,0.099131,-2.571,0.165928,204.2707,3831.8,204.2707,4.4687,51.18,0.7338,96500,14.2,0.5384
ICICIBANK26MAYFUT,HDFCBANK26MAYFUT,banking,True,0.099674,-2.5685,0.874231,580.2736,3756.8,580.2736,7.8486,77.95,0.6296,116281,19.9,0.3964
RELIANCE26MAYFUT,GRASIM26MAYFUT,mixed,True,0.100407,-2.5652,0.055416,1186.1135,6251.2,1186.1135,12.6059,57.96,0.3619,98999,12.4,0.131
LUPIN26MAYFUT,AUROPHARMA26MAYFUT,pharma,True,0.101243,-2.5614,0.024943,2220.1001,1430.8,2220.1001,18.4053,97.8,0.0329,34491,4.2,0.0011
ADANIENT26MAYFUT,PIDILITIND26MAYFUT,mixed,True,0.107531,-2.5335,1.439853,538.899,6895.5,538.899,88.0744,427.99,0.2367,65306,9.4,0.056
DRREDDY26MAYFUT,ALKEM26MAYFUT,pharma,True,0.108841,-2.5279,-0.020564,1420.4942,5991.0,1420.4942,26.9259,79.0,-0.0418,65299,9.4,0.0017
HDFCBANK26MAYFUT,IDFCFIRSTB26MAYFUT,banking,True,0.113287,-2.5091,0.874936,706.5683,3322.1,706.5683,6.7509,161.91,0.0873,68008,9.0,0.0076
LT26MAYFUT,BEL26MAYFUT,infra,True,0.11334,-2.5088,1.487488,3260.9196,4306.8,3260.9196,29.285,135.76,0.3263,92345,21.2,0.1065
TCS26MAYFUT,WIPRO26MAYFUT,it,True,0.113579,-2.5078,4.820763,1343.2197,4602.9,1343.2197,22.4866,181.8,0.7916,91347,12.2,0.6266
BHARTIARTL26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.113894,-2.5065,-0.402342,2540.4104,14636.1,2540.4104,50.7267,288.68,-0.194,95335,16.1,0.0376
BAJAJFINSV26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.114627,-2.5035,-0.03181,1852.9228,4008.0,1852.9228,15.4202,60.44,-0.2211,97750,8.2,0.0489
MUTHOOTFIN26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.115499,-2.4999,1.415965,1143.2033,5385.8,1143.2033,59.8488,243.14,0.84,116555,30.0,0.7056
BDL26MAYFUT,NTPC26MAYFUT,infra,True,0.11633,-2.4965,5.628042,-885.0358,3589.5,-885.0358,22.1175,258.16,0.6407,89121,5.8,0.4105
RELIANCE26MAYFUT,TITAN26MAYFUT,mixed,True,0.125854,-2.4587,-0.144232,1945.5333,6211.8,1945.5333,13.2787,48.58,-0.3734,120123,16.5,0.1394
HDFCBANK26MAYFUT,BANKBARODA26MAYFUT,banking,True,0.126372,-2.4567,0.872786,537.7628,4505.5,537.7628,6.8358,132.45,0.3748,88469,9.5,0.1404
INDUSINDBK26MAYFUT,FEDERALBNK26MAYFUT,nbfc,True,0.131783,-2.4362,0.495765,758.3957,2385.0,758.3957,9.1974,155.58,0.1174,51840,8.8,0.0138
PIDILITIND26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,0.139121,-2.4093,0.312476,922.2941,2800.9,922.2941,14.1399,88.18,0.3241,56751,1.0,0.1051
