symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.001,1.5,0.5,1.5,6.5671,-46090.21,6.2925,-53321.29,-103304.67,-20660.93,1,4,36061.36
ADANIPORTS26JUNFUT,0.001,1.5,0.5,2.0,5.9227,-57903.81,6.14,-44951.71,-100800.2,-20160.04,1,4,35347.07
ADANIPORTS26JUNFUT,0.001,1.5,0.5,3.0,8.2208,2526.16,6.6725,-32138.79,-30886.24,-6177.25,2,4,19593.64
ADANIPORTS26JUNFUT,0.001,2.0,0.05,1.0,5.9258,-107662.16,5.0825,-197265.31,-290850.59,-58170.12,1,4,54348.71
ADANIPORTS26JUNFUT,0.001,2.0,0.05,1.5,7.0546,-61517.04,5.725,-118297.12,-161370.22,-32274.04,0,4,26313.84
ADANIPORTS26JUNFUT,0.001,2.0,0.05,2.0,5.99,-83263.81,5.1825,-135633.13,-200703.98,-40140.8,1,4,29366.13
ADANIPORTS26JUNFUT,0.001,2.0,0.05,3.0,6.4517,-79570.35,5.71,-90105.62,-154970.15,-30994.03,0,4,25946.83
ADANIPORTS26JUNFUT,0.001,2.0,0.1,1.0,5.9258,-107662.16,5.0825,-197265.31,-290850.59,-58170.12,1,4,54348.71
ADANIPORTS26JUNFUT,0.001,2.0,0.1,1.5,7.0546,-61517.04,5.725,-118297.12,-161370.22,-32274.04,0,4,26313.84
ADANIPORTS26JUNFUT,0.001,2.0,0.1,2.0,5.99,-83263.81,5.1825,-135633.13,-200703.98,-40140.8,1,4,29366.13
ADANIPORTS26JUNFUT,0.001,2.0,0.1,3.0,6.4517,-79570.35,5.71,-90105.62,-154970.15,-30994.03,0,4,25946.83
ADANIPORTS26JUNFUT,0.001,2.0,0.25,1.0,5.9258,-107662.16,5.0825,-197265.31,-290850.59,-58170.12,1,4,54348.71
ADANIPORTS26JUNFUT,0.001,2.0,0.25,1.5,7.0546,-61517.04,5.725,-118297.12,-161370.22,-32274.04,0,4,26313.84
ADANIPORTS26JUNFUT,0.001,2.0,0.25,2.0,5.99,-83263.81,5.1825,-135633.13,-200703.98,-40140.8,1,4,29366.13
ADANIPORTS26JUNFUT,0.001,2.0,0.25,3.0,6.4517,-79570.35,5.71,-90105.62,-154970.15,-30994.03,0,4,25946.83
ADANIPORTS26JUNFUT,0.001,2.0,0.5,1.0,5.9258,-107662.16,5.0825,-197265.31,-290850.59,-58170.12,1,4,54348.71
ADANIPORTS26JUNFUT,0.001,2.0,0.5,1.5,7.0546,-61517.04,5.725,-118297.12,-161370.22,-32274.04,0,4,26313.84
ADANIPORTS26JUNFUT,0.001,2.0,0.5,2.0,5.99,-83263.81,5.1825,-135633.13,-200703.98,-40140.8,1,4,29366.13
ADANIPORTS26JUNFUT,0.001,2.0,0.5,3.0,6.4517,-79570.35,5.71,-90105.62,-154970.15,-30994.03,0,4,25946.83
